utterance,5W1H
"hi joydeep sir getting error on event viewer ,can u help me in resolving it .i am sending u screenshot of the error plz check it.i am using windows 10 home sl 64 bit 1703.","[0, 0, 0, 0, 0, 0]"
"Windows Content Delivery Manager would relate to Microsoft Edge. You could try resetting Edge to see if it helps. Open Start, type: powershell Right click PowerShell Click Run as administrator At the prompt, type the following command then hit Enter: Get-AppXPackage -AllUsers -Name Microsoft.MicrosoftEdge | Foreach {Add-AppxPackage -DisableDevelopmentMode -Register “$($_.InstallLocation)AppXManifest.xml” -Verbose} Exit then restart","[0, 0, 0, 0, 0, 0]"
hi joydeep sir my issues resolved.thnks a lot.,"[0, 0, 0, 0, 0, 0]"
"I had a couple of problems and contacted Microsoft support who did remote assistance.  Resolved the problems but since then my computer has become increasingly slower, particularly when reading emails.  I already felt Microsoft Edge was getting slower starting whereas at first it was a joy with its fast start.   When explaining that to the assistant he went into settings and got rid of caches and cookies but since then it has got even slower.   Any help Original title: Windows 10 Microsoft Edge","[0, 1, 1, 0, 1, 0]"
"Thank you for posting in Microsoft Community. We understand that your Windows 10 computer and MS Edge has become slow. We’ll certainly help you with this. Method 1: Run the System Maintenance troubleshooter. 1. Press Windows Key + X. 2. Click on Control Panel. 3. Select Troubleshooting. 4. On the left pane, click on View All. 5. Click on System Maintenance to run the troubleshooter. Method 2: Reset the Microsoft Edge I would suggest you to Reset the Microsoft Edge and see if it helps. Note: Resetting the Microsoft edge will remove your bookmarks and History. Follow the instruction provided below and check. a. Navigate to the following location: C:Users\%username%AppDataLocalPackagesMicrosoft.MicrosoftEdge_8wekyb3d8bbwe b. Delete everything in this folder.  c. Now press Windows key and type Windows Powershell in search box. d. Right click on Windows Powershell and select Run as administrator. e. Copy and paste the following command.   Get-AppXPackage -AllUsers -Name Microsoft.MicrosoftEdge | Foreach {Add-AppxPackage -DisableDevelopmentMode -Register ""$($_.InstallLocation)AppXManifest.xml"" –Verbose}   Disclaimer: The Reset Edge Settings feature might reset security settings or privacy settings that you added to the list of Trusted Sites. The Reset Edge Settings feature might also reset parental control settings. We recommend that you note these sites before you use the Reset Edge Settings feature. Resetting Edge isn't reversible, and all previous settings are lost after reset.   To back up favorites in the edge follow the steps below:   1. Open File Explorer, copy and paste the folder location below in the address bar, and press Enter.   %LocalAppData%PackagesMicrosoft.MicrosoftEdge_8wekyb3d8bbweACMicrosoftEdgeUserDefault 2. Copy the Favorites folder to a place where you like to save your backup. Hope this will help you. Keep us posted with the status of the issue. We’ll be glad to assist if you need further assistance. Thank you.","[0, 1, 0, 0, 0, 0]"
Thank you so much for your help.   I did option 1 and it solved the problem.   Thanks again for your assistance.   Much faster again.,"[0, 0, 0, 0, 0, 0]"
"Hi James,  Thank you for posting back with the result.  Glad to know the issue resolved. Feel free to post us if you need any assistance with Windows. We'll be glad to assist you.  Thank you.","[0, 0, 0, 0, 0, 0]"
"There is no ""control panel"" in the (windows) X pop up list. Looks like MS themselves don't know what their system/commands are doing. This is a very frustrating problem!","[1, 0, 0, 0, 0, 0]"
"I've pinned several websites on my start menu previously, but now either I forgot how to or what I think I remember, is not working (right click on site, select pin to start) or showing up when I right click. Is this the wrong way of attempting this? If so, what are the correct steps?","[1, 0, 1, 0, 0, 1]"
"Hi,  For us to be on the same page, we would like to know the browser you're using. Also, what was the operating system that you were using when you first tried it. These would help us provide you the accurate information/resolution.  ","[1, 0, 1, 0, 0, 0]"
I am using Edge in Windows 10,"[0, 0, 0, 0, 0, 0]"
