utterance,utterance_pos,initial_consine_similarity,consine_similarity,question_mark,duplicate,what,where,when,why,who,how,absolute_pos,norm_pos,utter_len,utter_len_unique_x,utter_len_unique_y,is_starter,contain_thank,exclamation_mark,feedback,neg,neu,pos,compound
"Thank you so much!  I really appreciate it, this is very helpful.  I got support from chat and they downloaded VLC.  ",5,0.3065775102987365,0.47208055917165886,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,76,11,11,True,True,True,False,0.0,0.595,0.405,0.8904
Thanks.  I think I've got it now. Problem solved.,3,0.3116511459654997,0.13257806714331233,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,41,7,7,True,True,False,False,0.197,0.438,0.365,0.3182
I re-installed Quick Time player and the problem resolved!,2,0.05679618342470648,0.511207720338155,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,49,7,7,True,False,True,False,0.256,0.599,0.145,-0.3164
I would suggest you run the Microsoft Genuine Advantage Diagnostics Tool and copy and paste the results in a reply for further analysis: http://go.microsoft.com/fwlink/?linkid=52012,4,0.12478354962115544,0.2515621396899017,True,False,0.0,0.0,0.0,0.0,0.0,0.0,4,0.4,139,17,17,False,False,False,False,0.0,0.92,0.08,0.25
"Hi YvonneWeber,  You may also refer to these FAQ articles below for more information.  What can I use Skype Credit for? https://support.skype.com/en/faq/FA571/  How do I purchase Skype Credit? https://support.skype.com/en/faq/FA570/  Hope this information helps.  Thanks.",3,0.19402850002906638,0.761971845212259,True,False,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,207,21,21,False,True,False,False,0.0,0.675,0.325,0.9179
"Hello everyone, We have Office 365 installed on a 55"" touch screen monitor with an embedded computer. The computer is running Windows 7. We are running a power point file that has an embedded video. The power point is set up to be an interactive presentation to be used at trade shows. This week I had to change the the account for the Office 365 from a business version to a home version. So I ended up deleting the old version of Office 365 and then downloading & installing the home account version. Afterwards I discovered that the one embedded video that is in the presentation would stop at random places during playback. What you would see is the cursor show up in the middle of the video & the video would stop. Clicking on the video would start it right back up. We have tried forcing the cursor off the video, unplugging the mouse & the keyboard, nothing helps. This video had ran without problems before now. Any thoughts",1,1.0000000000000002,0.8462132976138943,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1,0.14285714285714285,685,68,66,True,False,False,False,0.038,0.949,0.013,-0.5149
"As per our discussion, my problem is I got a system update to Windows 10 for my phone before 2 months and after upgrading I faced unnecessary automatic shutdown and after that I enquired in the service centre and degraded my OS to win 8, Now my query is if I upgrade my os to win 10,will I face this problem again. Sent from my Windows Phone --------------------------------------------------------------------------------",4,0.25175440748900674,0.9445800206431528,False,False,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,260,28,27,True,False,False,False,0.109,0.795,0.096,-0.0065
"Hi,  Try this:  1. Uninstall the Bing Desktop program and earlier versions a. Click Start. b. Type appwiz.cpl in the Search for programs and files box and then press ENTER. c. In the currently installed programs list, select Bing Desktop and then click Remove. d. Follow the on-screen instructions to uninstall Bing Desktop from your computer.   NOTE: Before proceeding to the next steps, please unhide your folders first. To unhide folders, on your local folder, press ALT > Tools > Folder Option > View > Show hidden files, folders and drives.   2. Browse your computer to C:Program Files (x86) then delete the Bing Desktop Installer. a. Click Start. b. Type C:Program Files on the Start Search box. c. Hit Enter. d. Look for the Bing Desktop folder. e. Right-click the Bing Desktop Installer folder and click Delete   3. Remove Bing Desktop Files in Program Data folder a. Click Start b. Be sure to unhide all your folders c. Type 'C:' d. Select Program Data e. Then, open Microsoft f. Delete the Bing Desktop folder   4. Remove Bing Desktop files from the Windows registry IMPORTANT: The steps below contain information about modifying the registry. Before you modify the registry, make sure to back it up and make sure that you understand how to restore the registry if a problem occurs. For information about how to back up, restore, and edit the registry, visit the following Web site: http://support.microsoft.com/kb/256986 a. Click the 'Start' button, type regedit in the search text box, and then press 'ENTER'. b. In the 'User Account Control' dialog box, click 'Continue'. c. Expand the HKEY_CURRENT_USERSoftwareMicrosoft folder. d. Underneath the Microsoft folder, make sure that the MSN Toolbar, MSN Apps and Bing bar folders are not present. If the folders are present, right-click on each folder then click 'Delete'. e. Expand the HKEY_LOCAL_MACHINE SoftwareMicrosoft folder. f. Underneath the Microsoft folder, make sure that the MSN Toolbar and MSN Apps folders are not present. If the folders are present, right-click on each folder then click 'Delete'. g. Close the Registry Editor window   5. To delete the Bing the APP Data folders a. Click Start. Type %USERPROFILE% on the Search for programs and files box then press Enter on your keyboard. b. On the pop-up window, locate the AppData folder. If the folder is not present, make sure to show all hidden files and folders. Check this option by accessing Organize > Folder and Search options > View Tab c. After opening the AppData folder, open Local > Microsoft d. Locate the Bing Desktop folder then delete it.   6. Install the Bing Desktop a. Launch Internet Explorer. The Bing Bar will not work with any other browser. b. Download the installer by going to http://www.bing.com/explore/desktopto install the latest version of the Bing Bar. c. Restart the computer then check if the issue persists",4,0.3227970353712686,0.9827035214572649,False,False,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,2268,145,134,False,False,False,False,0.01,0.939,0.052,0.9491
Hi  Just wondering if I can listen to my voicemail over Skype when I'm overseas? hope someone can help.,1,1.0000000000000002,0.4868937880292631,True,False,0.0,0.0,1.0,0.0,0.0,0.0,1,0.25,75,12,12,True,False,False,False,0.0,0.752,0.248,0.6808
"Hi All, I have a Bragi Dash Pro that seems work well with my Moto G4 Plus android phone. Bluetooth audio connection seems to work fine for music playing, WhatsApp calls, and regular phone calls. However when I use skype the audio/sound switches back to the phone, even though the Bluetooth connection seems to be maintained. Any ideas how to make it so I can use Skype with Brago Dash Pro (note - current version of Bragi software is 3.0.2). Thanks",1,1.0000000000000002,0.7510531685621378,False,False,0.0,0.0,1.0,0.0,0.0,1.0,1,0.25,359,42,42,True,True,False,False,0.0,0.9,0.1,0.765
